"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","20/PUT /todos/{id} partial @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","14","22/PUT /todos/{id} no amend id @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","29","2/GET /challenges @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:07 UTC 2025","POST /challenger @api","","",""
"","14","18/POST /todos/{id} @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","16","15/POST /todos extra @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","22","4/GET /todo not plural @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:07 UTC 2025","POST /challenger @api","","",""
"","15","26/GET /todos JSON @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","17","10/POST /todos doneStatus @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","42","9/POST /todos @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","5459","Пользователь редактирует статью @ui","chromium","Sat Nov 22 15:32:14 UTC 2025","passed","Sat Nov 22 15:32:19 UTC 2025","Тесты статей @ui","","",""
"","15","28/GET /todos XML pref @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","14","30/GET /todos @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","25/GET /todos XML @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","18","5/GET /todos/{id} @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:07 UTC 2025","POST /challenger @api","","",""
"","4136","Пользователь лайкает статью @ui","chromium","Sat Nov 22 15:32:19 UTC 2025","passed","Sat Nov 22 15:32:23 UTC 2025","Тесты статей @ui","","",""
"","16","11/POST /todos title too long @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","24/OPTIONS /todos @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","21","21/PUT /todos/{id} no title @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","29/GET /todos no accept @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","27/GET /todos ANY @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","29","7/GET /todos?filter @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","13","23/DELETE /todos/{id} @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","4821","Пользователь создает статью @ui","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:13 UTC 2025","Тесты статей @ui","","",""
"","20","3/GET /todos @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:07 UTC 2025","POST /challenger @api","","",""
"","26","13/POST /todos max out content @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","17","14/POST /todos content too long @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","17","16/PUT /todos/{id} @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","17/POST /todos/{id} @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","3198","Пользователь выходит из аккаунта @ui","chromium","Sat Nov 22 15:32:23 UTC 2025","passed","Sat Nov 22 15:32:26 UTC 2025","Тест выхода из аккаунта @ui","","",""
"","15","19/PUT /todos/{id} full @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","15","8/HEAD /todos @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
"","3507","Пользователь ищет статьи по тегу @ui","chromium","Sat Nov 22 15:32:27 UTC 2025","passed","Sat Nov 22 15:32:30 UTC 2025","Тест поиска по тегам @ui","","",""
"","28","6/GET /todos/{id} @api","chromium","Sat Nov 22 15:32:07 UTC 2025","passed","Sat Nov 22 15:32:07 UTC 2025","POST /challenger @api","","",""
"","17","12/POST /todos description too long @api","chromium","Sat Nov 22 15:32:08 UTC 2025","passed","Sat Nov 22 15:32:08 UTC 2025","POST /challenger @api","","",""
