"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","19/PUT /todos/{id} full (200) @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","4418","Пользователь лайкает статью @ui","chromium","Mon Nov 03 19:46:08 UTC 2025","passed","Mon Nov 03 19:46:12 UTC 2025","Тесты статей @ui","","",""
"","95","24/OPTIONS /todos (200) @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","281","09/POST /todos (201) @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:53 UTC 2025","POST /challenger @api","","",""
"","97","17/POST /todos/{id} (200) @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","94","25/GET /todos (200) XML @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","108","13/POST /todos (201) max out content @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","100","29/GET /todos (200) no accept @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:56 UTC 2025","POST /challenger @api","","",""
"","110","20/PUT /todos/{id} partial (200) @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","95","28/GET /todos (200) XML pref @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","101","04/GET /todo (404) not plural @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:53 UTC 2025","POST /challenger @api","","",""
"","98","14/POST /todos (413) content too long @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","95","27/GET /todos (200) ANY @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","96","08/HEAD /todos (200) @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:53 UTC 2025","POST /challenger @api","","",""
"","96","11/POST /todos (400) title too long @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","94","26/GET /todos (200) JSON @api","chromium","Mon Nov 03 19:45:55 UTC 2025","passed","Mon Nov 03 19:45:55 UTC 2025","POST /challenger @api","","",""
"","94","30/GET /todos (406) @api","chromium","Mon Nov 03 19:45:56 UTC 2025","passed","Mon Nov 03 19:45:56 UTC 2025","POST /challenger @api","","",""
"","106","07/GET /todos (200) ?filter @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:53 UTC 2025","POST /challenger @api","","",""
"","96","16/PUT /todos/{id} (400) @api","chromium","Mon Nov 03 19:45:54 UTC 2025","passed","Mon Nov 03 19:45:54 UTC 2025","POST /challenger @api","","",""
"","3601","Пользователь выходит из аккаунта @ui","chromium","Mon Nov 03 19:46:12 UTC 2025","passed","Mon Nov 03 19:46:16 UTC 2025","Тест выхода из аккаунта @ui","","",""
"","99","05/GET /todos/{id} (200) @api","chromium","Mon Nov 03 19:45:53 UTC 2025","passed","Mon Nov 03 19:45:53 UTC 2025","POST /challenger @api","","",""
